Place,Course ID,Place ID
"Alpine Bay Golf Club, Alpine, AL",11318,ChIJyYCoBAdhiYgRAN0uDCZgWi0
"Andalusia Country Club, Andalusia, AL",11385,ChIJje5He1vpkYgRNPNFbM-xH3Q
"Anniston Country Club, Anniston, AL",11323,ChIJdzzUNM6zi4gRM2oBgLdjjHY
"Aroostook Golf Course, Montgomery, AL",11399,ChIJZwLqr_cujIgRzF6V-NQTd8s
"Aroostook Golf Course, Montgomery, AL",11400,ChIJZwLqr_cujIgRzF6V-NQTd8s
"Arrowhead Country Club, Montgomery, AL",11328,ChIJ8VMowi0sjIgRrFkdcmux8s4
"Atmore Country Club, Atmore, AL",11364,ChIJj7eMJYKCmogR31vN0BdXPn8
"Auburn University Club, Auburn, AL",11270,ChIJtajIPEzzjIgRPHT1_3h3ljI
"Azalea City Golf Course, Mobile, AL",11268,ChIJj5L0LlWtm4gRvAfI0q97X7I
"Ballantrae Golf Course, Pelham, AL",11378,ChIJ7awo-CgliYgRyC4TL51yMjg
"Becky Peirce Municipal Golf Course, Huntsville, AL",11254,ChIJITcG59NsYogRhpoxNsc57MY
"Bent Brook Golf Course, Bessemer, AL",11279,ChIJrViwDKbeiIgRt3_1Kf_xDxM
"Bent Brook Golf Course, Bessemer, AL",17721,ChIJrViwDKbeiIgRt3_1Kf_xDxM
"Bent Brook Golf Course, Bessemer, AL",11280,ChIJrViwDKbeiIgRt3_1Kf_xDxM
"Big Spring Lake Country Club, Albertville, AL",11263,ChIJP1xCrhUDiogRa2h0Hy94nLQ
